title,video_id,url
Nyt aamua kaikille,6gYskfAeObs,https://www.youtube.com/watch?v=6gYskfAeObs
Ilta puuroset,nYFSqW7e06s,https://www.youtube.com/watch?v=nYFSqW7e06s
Testataan,SoeOtyKg1DE,https://www.youtube.com/watch?v=SoeOtyKg1DE
Ilta ronkelo,9gwanDJZSjY,https://www.youtube.com/watch?v=9gwanDJZSjY
Oliha maku,SUD0OZ3p3IE,https://www.youtube.com/watch?v=SUD0OZ3p3IE
Nyt maistetaan,R07dXwvRmaU,https://www.youtube.com/watch?v=R07dXwvRmaU
näin,r9ZEpwFtWwo,https://www.youtube.com/watch?v=r9ZEpwFtWwo
Aamu ronkelo,xZ3nKzVr3iY,https://www.youtube.com/watch?v=xZ3nKzVr3iY
Iltta ja msitelaan,kuahClNUKjE,https://www.youtube.com/watch?v=kuahClNUKjE
Olihan kahvi,mBHG8ug-ETA,https://www.youtube.com/watch?v=mBHG8ug-ETA
Ilta kahvoset,pxSwDO2JeYc,https://www.youtube.com/watch?v=pxSwDO2JeYc
Nyt sitten hörpästään pikkusen,IPmSYTfJ3fM,https://www.youtube.com/watch?v=IPmSYTfJ3fM
Aamukahvit näin,SLHkIyLihT0,https://www.youtube.com/watch?v=SLHkIyLihT0
Iltaa nyt kaikille,WEemRT-_O8k,https://www.youtube.com/watch?v=WEemRT-_O8k
Nyt aamua kaikille,WH3IjwrSTVg,https://www.youtube.com/watch?v=WH3IjwrSTVg
Yö ja mitähän nukkumatti tarjoilee,yojrQAEFa-o,https://www.youtube.com/watch?v=yojrQAEFa-o
Ilta päivää nyt,e7aO7eqzNLc,https://www.youtube.com/watch?v=e7aO7eqzNLc
Aurinkoita ja lämmintä maantaita nyt,yZjWZt3FpBQ,https://www.youtube.com/watch?v=yZjWZt3FpBQ
Sunnuntai tepasteluu,cf96WEO3pTY,https://www.youtube.com/watch?v=cf96WEO3pTY
kiitos lajotuksesta nyt,mRuGnxr-bu4,https://www.youtube.com/watch?v=mRuGnxr-bu4
Aamumenijo,ynshFjzLhYI,https://www.youtube.com/watch?v=ynshFjzLhYI
Hampaiden pesu nyt ,I3spttJOuJY,https://www.youtube.com/watch?v=I3spttJOuJY
